date,new_death_events
2020-02-21,4
2020-02-22,4
2020-02-23,4
2020-02-24,4
2020-02-25,8
2020-02-26,6
2020-02-27,8
2020-02-28,11
2020-02-29,15
2020-03-01,26
2020-03-02,24
2020-03-03,56
2020-03-04,56
2020-03-05,81
2020-03-06,111
2020-03-07,168
2020-03-08,176
2020-03-09,226
2020-03-10,281
2020-03-11,312
2020-03-12,323
2020-03-13,379
2020-03-14,445
2020-03-15,434
2020-03-16,512
2020-03-17,574
2020-03-18,645
2020-03-19,654
2020-03-20,756
2020-03-21,819
2020-03-22,817
2020-03-23,866
2020-03-24,823
2020-03-25,872
2020-03-26,837
2020-03-27,884
2020-03-28,928
2020-03-29,769
2020-03-30,795
2020-03-31,707
2020-04-01,716
2020-04-02,693
2020-04-03,681
2020-04-04,640
2020-04-05,604
2020-04-06,594
2020-04-07,613
2020-04-08,603
2020-04-09,545
2020-04-10,609
2020-04-11,589
2020-04-12,579
2020-04-13,534
2020-04-14,543
2020-04-15,514
2020-04-16,452
2020-04-17,478
2020-04-18,465
2020-04-19,463
2020-04-20,449
2020-04-21,367
2020-04-22,385
2020-04-23,358
2020-04-24,387
2020-04-25,359
2020-04-26,322
2020-04-27,331
2020-04-28,313
2020-04-29,299
2020-04-30,262
2020-05-01,257
2020-05-02,254
2020-05-03,243
2020-05-04,219
2020-05-05,225
2020-05-06,218
2020-05-07,180
2020-05-08,172
2020-05-09,199
2020-05-10,169
2020-05-11,162
2020-05-12,159
2020-05-13,144
2020-05-14,143
2020-05-15,151
2020-05-16,103
2020-05-17,118
2020-05-18,99
2020-05-19,93
2020-05-20,89
2020-05-21,77
2020-05-22,84
2020-05-23,96
2020-05-24,86
2020-05-25,75
2020-05-26,60
2020-05-27,50
2020-05-28,71
2020-05-29,63
2020-05-30,49
2020-05-31,49
2020-06-01,60
2020-06-02,57
2020-06-03,52
2020-06-04,60
2020-06-05,51
2020-06-06,36
2020-06-07,36
2020-06-08,38
2020-06-09,35
2020-06-10,32
2020-06-11,35
2020-06-12,29
2020-06-13,23
2020-06-14,23
2020-06-15,31
2020-06-16,35
2020-06-17,33
2020-06-18,32
2020-06-19,21
2020-06-20,19
2020-06-21,23
2020-06-22,17
2020-06-23,30
2020-06-24,19
2020-06-25,20
2020-06-26,18
2020-06-27,24
2020-06-28,12
2020-06-29,13
2020-06-30,12
2020-07-01,12
2020-07-02,13
2020-07-03,11
2020-07-04,7
2020-07-05,11
2020-07-06,13
2020-07-07,10
2020-07-08,6
2020-07-09,9
2020-07-10,8
2020-07-11,7
2020-07-12,9
2020-07-13,19
2020-07-14,6
2020-07-15,5
2020-07-16,15
2020-07-17,5
2020-07-18,14
2020-07-19,10
2020-07-20,7
2020-07-21,8
2020-07-22,11
2020-07-23,4
2020-07-24,7
2020-07-25,5
2020-07-26,5
2020-07-27,15
2020-07-28,5
2020-07-29,7
2020-07-30,7
2020-07-31,4
2020-08-01,4
2020-08-02,4
2020-08-03,7
2020-08-04,4
2020-08-05,8
2020-08-06,6
2020-08-07,9
2020-08-08,6
2020-08-09,4
2020-08-10,9
2020-08-11,7
2020-08-12,4
2020-08-13,6
2020-08-14,10
2020-08-16,9
2020-08-17,4
2020-08-18,5
2020-08-19,7
2020-08-20,11
2020-08-21,4
2020-08-22,5
2020-08-23,4
2020-08-24,7
2020-08-25,6
2020-08-26,10
2020-08-27,6
2020-08-29,4
2020-08-30,7
2020-08-31,9
2020-09-01,9
2020-09-02,11
2020-09-03,11
2020-09-04,11
2020-09-05,13
2020-09-06,6
2020-09-07,19
2020-09-08,4
2020-09-09,7
2020-09-10,8
2020-09-11,6
2020-09-12,12
2020-09-13,14
2020-09-14,13
2020-09-15,18
2020-09-16,16
2020-09-17,16
2020-09-18,24
2020-09-19,16
2020-09-20,19
2020-09-21,16
2020-09-22,13
2020-09-23,26
2020-09-24,20
2020-09-25,29
2020-09-26,19
2020-09-27,26
2020-09-28,21
2020-09-29,25
2020-09-30,19
2020-10-01,27
2020-10-02,30
2020-10-03,18
2020-10-04,21
2020-10-05,39
2020-10-06,25
2020-10-07,32
2020-10-08,39
2020-10-09,39
2020-10-10,50
2020-10-11,54
2020-10-12,73
2020-10-13,71
2020-10-14,70
2020-10-15,68
2020-10-16,103
2020-10-17,89
2020-10-18,106
2020-10-19,108
2020-10-20,144
2020-10-21,147
2020-10-22,160
2020-10-23,181
2020-10-24,211
2020-10-25,196
2020-10-26,250
2020-10-27,235
2020-10-28,306
2020-10-29,299
2020-10-30,354
2020-10-31,369
2020-11-01,355
2020-11-02,439
2020-11-03,428
2020-11-04,469
2020-11-05,532
2020-11-06,513
2020-11-07,493
2020-11-08,570
2020-11-09,600
2020-11-10,655
2020-11-11,673
2020-11-12,719
2020-11-13,656
2020-11-14,690
2020-11-15,721
2020-11-16,752
2020-11-17,773
2020-11-18,792
2020-11-19,793
2020-11-20,774
2020-11-21,672
2020-11-22,711
2020-11-23,755
2020-11-24,760
2020-11-25,818
2020-11-26,725
2020-11-27,753
2020-11-28,712
2020-11-29,657
2020-11-30,677
2020-12-01,638
2020-12-02,704
2020-12-03,641
2020-12-04,669
2020-12-05,621
2020-12-06,630
2020-12-07,630
2020-12-08,587
2020-12-09,686
2020-12-10,611
2020-12-11,591
2020-12-12,571
2020-12-13,561
2020-12-14,563
2020-12-15,559
2020-12-16,621
2020-12-17,563
2020-12-18,541
2020-12-19,482
2020-12-20,473
2020-12-21,499
2020-12-22,488
2020-12-23,476
2020-12-24,477
2020-12-25,410
2020-12-26,429
2020-12-27,406
2020-12-28,477
2020-12-29,432
2020-12-30,467
2020-12-31,414
2021-01-01,448
2021-01-02,411
2021-01-03,411
2021-01-04,496
2021-01-05,491
2021-01-06,444
2021-01-07,430
2021-01-08,418
2021-01-09,421
2021-01-10,422
2021-01-11,448
2021-01-12,447
2021-01-13,429
2021-01-14,408
2021-01-15,473
2021-01-16,421
2021-01-17,417
2021-01-18,463
2021-01-19,448
2021-01-20,418
2021-01-21,392
2021-01-22,396
2021-01-23,378
2021-01-24,385
2021-01-25,351
2021-01-26,375
2021-01-27,378
2021-01-28,362
2021-01-29,319
2021-01-30,320
2021-01-31,304
2021-02-01,291
2021-02-02,333
2021-02-03,302
2021-02-04,259
2021-02-05,326
2021-02-06,286
2021-02-07,258
2021-02-08,283
2021-02-09,289
2021-02-10,248
2021-02-11,254
2021-02-12,237
2021-02-13,225
2021-02-14,222
2021-02-15,240
2021-02-16,238
2021-02-17,278
2021-02-18,254
2021-02-19,233
2021-02-20,200
2021-02-21,198
2021-02-22,218
2021-02-23,212
2021-02-24,126
2021-02-25,97
2021-02-26,17
